Time,0,1,2,3
2020/4/7 22:04:00,0,0,0,0
2020/4/7 22:05:00,1,1,1,1
2020/4/7 22:06:00,2,2,2,2
2020/4/7 22:07:00,3,3,3,3
2020/4/7 22:00:00,4,4,4,4
2020/4/7 22:01:00,5,5,5,5
2020/4/7 22:02:00,6,6,6,6
2020/4/7 22:03:00,7,7,7,7
2020/4/7 22:08:00,8,8,8,8
2020/4/7 22:09:00,9,9,9,9
2020/4/7 22:10:00,10,10,10,10
2020/4/7 22:11:00,11,11,11,11
2020/4/7 22:12:00,12,12,12,12
2020/4/7 22:13:00,13,13,13,13
2020/4/7 22:14:00,14,14,14,14
2020/4/7 22:15:00,15,15,15,15
2020/4/7 22:16:00,16,16,16,16
2020/4/7 22:17:00,17,17,17,17
2020/4/7 22:18:00,18,18,18,18
2020/4/7 22:19:00,19,19,19,19
